VideoURL	R2Key	Status
https://docs.aquilla.app/walkthroughs/admin-debug-tools/admin-debug-tools.mp4	aquilla-docs/walkthroughs/admin-debug-tools/admin-debug-tools.mp4	live
https://docs.aquilla.app/walkthroughs/ai-autodraft-cell/ai-autodraft-cell.mp4	aquilla-docs/walkthroughs/ai-autodraft-cell/ai-autodraft-cell.mp4	live
https://docs.aquilla.app/walkthroughs/audio-voice-tts/audio-voice-tts.mp4	aquilla-docs/walkthroughs/audio-voice-tts/audio-voice-tts.mp4	live
https://docs.aquilla.app/walkthroughs/collab-realtime/collab-realtime.mp4	aquilla-docs/walkthroughs/collab-realtime/collab-realtime.mp4	live
https://docs.aquilla.app/walkthroughs/comments-discuss/comments-discuss.mp4	aquilla-docs/walkthroughs/comments-discuss/comments-discuss.mp4	live
https://docs.aquilla.app/walkthroughs/editor-translate-cell/editor-translate-cell.mp4	aquilla-docs/walkthroughs/editor-translate-cell/editor-translate-cell.mp4	live
https://docs.aquilla.app/walkthroughs/export-usfm-docx/export-usfm-docx.mp4	aquilla-docs/walkthroughs/export-usfm-docx/export-usfm-docx.mp4	live
https://docs.aquilla.app/walkthroughs/import-usfm-paratext/import-usfm-paratext.mp4	aquilla-docs/walkthroughs/import-usfm-paratext/import-usfm-paratext.mp4	live
https://docs.aquilla.app/walkthroughs/living-memory/living-memory.mp4	aquilla-docs/walkthroughs/living-memory/living-memory.mp4	live
https://docs.aquilla.app/walkthroughs/onboarding-first-run/onboarding-first-run.mp4	aquilla-docs/walkthroughs/onboarding-first-run/onboarding-first-run.mp4	live
https://docs.aquilla.app/walkthroughs/org-setup/org-setup-create-and-settings.mp4	aquilla-docs/walkthroughs/org-setup/org-setup-create-and-settings.mp4	live
https://docs.aquilla.app/walkthroughs/overview-read-progress/overview-read-progress.mp4	aquilla-docs/walkthroughs/overview-read-progress/overview-read-progress.mp4	live
https://docs.aquilla.app/walkthroughs/project-settings/project-settings.mp4	aquilla-docs/walkthroughs/project-settings/project-settings.mp4	live
https://docs.aquilla.app/walkthroughs/project-tour/project-tour.mp4	aquilla-docs/walkthroughs/project-tour/project-tour.mp4	live
https://docs.aquilla.app/walkthroughs/projects-dashboard/projects-dashboard.mp4	aquilla-docs/walkthroughs/projects-dashboard/projects-dashboard.mp4	live
https://docs.aquilla.app/walkthroughs/rules-run-checks/rules-run-checks.mp4	aquilla-docs/walkthroughs/rules-run-checks/rules-run-checks.mp4	live
https://docs.aquilla.app/walkthroughs/search-find-replace/search-find-replace.mp4	aquilla-docs/walkthroughs/search-find-replace/search-find-replace.mp4	live
https://docs.aquilla.app/walkthroughs/settings-org/settings-org.mp4	aquilla-docs/walkthroughs/settings-org/settings-org.mp4	live
https://docs.aquilla.app/walkthroughs/sharing-invite-link/sharing-invite-link.mp4	aquilla-docs/walkthroughs/sharing-invite-link/sharing-invite-link.mp4	live
https://docs.aquilla.app/walkthroughs/teams-invite-members/teams-invite-members.mp4	aquilla-docs/walkthroughs/teams-invite-members/teams-invite-members.mp4	live
https://docs.aquilla.app/walkthroughs/terminology-confirm-terms/terminology-confirm-terms.mp4	aquilla-docs/walkthroughs/terminology-confirm-terms/terminology-confirm-terms.mp4	live
https://docs.aquilla.app/walkthroughs/validation-validate-cell/validation-validate-cell.mp4	aquilla-docs/walkthroughs/validation-validate-cell/validation-validate-cell.mp4	live
